Wall time,Step,Value
1528947544.2036953,0,0.90420001745224
1528947568.9925098,0,0.9028000235557556
1528947594.3332322,1,0.9225999712944031
1528947599.7851112,2,0.9323999881744385
1528947605.863537,3,0.9399999976158142
1528947611.1562245,4,0.9441999793052673
1528947615.9369056,5,0.9506000280380249
1528947621.3783083,6,0.9531999826431274
1528947626.115205,7,0.9575999975204468
1528947631.0460296,8,0.9593999981880188
1528947636.3175497,9,0.9638000130653381
1528947641.391135,10,0.9657999873161316
1528947646.780972,11,0.9670000076293945
1528947651.9932916,12,0.968999981880188
1528947657.068516,13,0.9703999757766724
1528947662.0438344,14,0.9710000157356262
1528947667.369693,15,0.9724000096321106
1528947672.5533261,16,0.9733999967575073
1528947677.7053733,17,0.9742000102996826
1528947682.9510953,18,0.9750000238418579
1528947688.1914525,19,0.9757999777793884
1528947693.2473943,20,0.9751999974250793
1528947699.0507479,21,0.9751999974250793
1528947705.969255,22,0.9768000245094299
1528947711.846422,23,0.9768000245094299
1528947717.4323187,24,0.9775999784469604
1528947724.3365479,25,0.9764000177383423
1528947730.876509,26,0.9769999980926514
1528947737.230158,27,0.9775999784469604
1528947743.6900764,28,0.9768000245094299
1528947751.1240468,29,0.977400004863739
1528947757.3362298,30,0.979200005531311
1528947763.8624465,31,0.9793999791145325
1528947770.7711575,32,0.9783999919891357
1528947776.7266798,33,0.9793999791145325
1528947782.22142,34,0.9782000184059143
1528947787.9157681,35,0.9796000123023987
1528947793.608698,36,0.979200005531311
1528947799.8051548,37,0.979200005531311
1528947805.9873579,38,0.9783999919891357
1528947812.5269184,39,0.980400025844574
1528947819.3468006,40,0.9800000190734863
1528947826.3448567,41,0.980400025844574
1528947832.1538613,42,0.9807999730110168
1528947838.2392128,43,0.9800000190734863
1528947844.4920604,44,0.9797999858856201
1528947850.7629166,45,0.9800000190734863
1528947858.1632903,46,0.9801999926567078
1528947863.7877889,47,0.9807999730110168
1528947868.87173,48,0.9801999926567078
1528947874.389823,49,0.9818000197410583
1528947881.5197797,50,0.9807999730110168
1528947890.3336515,51,0.9807999730110168
1528947898.2132783,52,0.9810000061988831
1528947905.8499823,53,0.9807999730110168
1528947913.6968079,54,0.9811999797821045
1528947921.3198533,55,0.9824000000953674
1528947929.792313,56,0.9811999797821045
1528947937.1228378,57,0.9801999926567078
1528947943.8447227,58,0.9810000061988831
1528947950.666881,59,0.980400025844574
1528947957.1301677,60,0.9807999730110168
1528947962.5682478,61,0.9819999933242798
1528947970.097122,62,0.9818000197410583
1528947977.884724,63,0.9801999926567078
1528947984.5229952,64,0.9811999797821045
1528947992.8409894,65,0.9810000061988831
1528947999.9931946,66,0.9815999865531921
1528948006.8955026,67,0.9824000000953674
1528948012.6476948,68,0.9815999865531921
1528948019.867586,69,0.9819999933242798
1528948027.837373,70,0.9814000129699707
1528948035.0165973,71,0.9814000129699707
1528948041.5323822,72,0.9815999865531921
1528948048.5298164,73,0.9815999865531921
1528948054.8206246,74,0.9815999865531921
1528948059.6072278,75,0.982200026512146
1528948064.6429172,76,0.9824000000953674
1528948069.4331071,77,0.9818000197410583
1528948074.384319,78,0.9814000129699707
1528948079.2887075,79,0.9815999865531921
1528948084.282894,80,0.982200026512146
1528948089.3206267,81,0.9815999865531921
1528948094.3642764,82,0.9819999933242798
1528948099.6131496,83,0.9815999865531921
1528948104.7937129,84,0.9824000000953674
1528948109.9548264,85,0.9825999736785889
1528948115.3883085,86,0.9824000000953674
1528948120.6004508,87,0.9828000068664551
1528948126.034998,88,0.9814000129699707
1528948134.9217443,89,0.9819999933242798
1528948141.274788,90,0.9819999933242798
1528948147.940397,91,0.9818000197410583
1528948154.3513064,92,0.9819999933242798
1528948160.7069364,93,0.9824000000953674
1528948167.2736301,94,0.9819999933242798
1528948173.8089843,95,0.9815999865531921
1528948180.4397964,96,0.9818000197410583
1528948186.0454617,97,0.9825999736785889
1528948192.6917224,98,0.9825999736785889
1528948199.1136792,99,0.9819999933242798
1528948204.7637627,100,0.9815999865531921
1528948212.1232266,101,0.9819999933242798
1528948218.7918665,102,0.9819999933242798
1528948225.6114354,103,0.982200026512146
1528948232.2518187,104,0.9814000129699707
1528948238.6408727,105,0.9818000197410583
1528948244.5001662,106,0.9824000000953674
1528948249.5783188,107,0.9819999933242798
1528948254.7284534,108,0.9825999736785889
1528948259.9898164,109,0.9814000129699707
1528948265.2755392,110,0.9819999933242798
